;;;  CUSTO SEM CORRETAGEM ;; CUSTO COM CORRETAGEM ;;;1,000407846;
Data;Cia.;C/V; Quantidade ; Unit‡rio ; Total ; Unit‡rio ; Total ; Total Despesas ;
;;;;;;;;;
30/11/2020;MRFG3;V; 60.000 ; 15,02 ; 901.200,00 ; 15,00 ; 901.567,55 ; 367,55 ;
30/11/2020;VIIA3;C; 60.000 ; 17,66 ; (1.059.600,00); 17,69 ; (1.060.032,15); (432,15);
03/12/2020;VIIA3;V; 25.000 ; 17,48 ; 437.000,00 ; 17,46 ; 437.178,23 ; 178,23 ;
21/12/2020;CSNA3;V; 100.000 ; 25,50 ; 2.550.000,00 ; 25,46 ; 2.551.040,01 ; 1.040,01 ;
21/12/2020;VALE3;V; 100.000 ; 78,04 ; 7.804.000,00 ; 77,93 ; 7.807.182,83 ; 3.182,83 ;
23/12/2020;VALE3;C; 100.000 ; 86,91 ; (8.691.000,00); 87,04 ; (8.694.544,59); (3.544,59);
04/01/2021;BRFS3;C; 80.000 ; 21,79 ; (1.743.200,00); 21,82 ; (1.743.910,96); (710,96);
08/01/2021;BRFS3;C; 15.000 ; 21,84 ; (327.600,00); 21,87 ; (327.733,61); (133,61);
11/01/2021;PETR4;C; 100.000 ; 30,73 ; (3.073.000,00); 30,77 ; (3.074.253,31); (1.253,31);
11/01/2021;USIM5;C; 100.000 ; 17,15 ; (1.715.000,00); 17,17 ; (1.715.699,46); (699,46);
14/01/2021;PETR4;C; 100.000 ; 29,04 ; (2.904.000,00); 29,09 ; (2.905.184,39); (1.184,39);
05/02/2021;MRFG3;V; 80.000 ; 14,34 ; 1.147.200,00 ; 14,31 ; 1.147.667,88 ; 467,88 ;
10/02/2021;VALE3;V; 100.000 ; 94,90 ; 9.490.000,00 ; 94,76 ; 9.493.870,46 ; 3.870,46 ;
11/02/2021;VALE3;C; 100.000 ; 93,31 ; (9.331.000,00); 93,45 ; (9.334.805,62); (3.805,62);
12/02/2021;USIM5;C; 100.000 ; 14,22 ; (1.422.000,00); 14,24 ; (1.422.579,96); (579,96);
18/02/2021;VIIA3;V; 35.000 ; 14,44 ; 505.400,00 ; 14,42 ; 505.606,13 ; 206,13 ;
19/02/2021;PETR3;C; 100.000 ; 27,00 ; (2.700.000,00); 27,04 ; (2.701.101,19); (1.101,19);
19/02/2021;PETR4;V; 200.000 ; 27,98 ; 5.596.000,00 ; 27,94 ; 5.598.282,31 ; 2.282,31 ;
19/02/2021;VALE3;V; 100.000 ; 96,64 ; 9.664.000,00 ; 96,50 ; 9.667.941,43 ; 3.941,43 ;
22/02/2021;PETR4;C; 200.000 ; 22,59 ; (4.518.000,00); 22,62 ; (4.519.842,65); (1.842,65);
23/02/2021;MRFG3;V; 80.000 ; 14,16 ; 1.132.800,00 ; 14,11 ; 1.133.262,01 ; 462,01 ;
23/02/2021;VALE3;C; 100.000 ; 95,38 ; (9.538.000,00); 95,49 ; (9.541.890,04); (3.890,04);
23/02/2021;VALE3;V; 100.000 ; 95,09 ; 9.509.000,00 ; 94,98 ; 9.512.878,21 ; 3.878,21 ;
24/02/2021;PETR3;C; 400.000 ; 23,76 ; (9.504.000,00); 23,79 ; (9.507.876,17); (3.876,17);
03/03/2021;BBDC4;V; 100.000 ; 22,30 ; 2.230.000,00 ; 22,27 ; 2.230.909,50 ; 909,50 ;
03/03/2021;PETR4;C; 100.000 ; 21,15 ; (2.115.000,00); 21,18 ; (2.115.862,60); (862,60);
05/03/2021;BRFS3;C; 100.000 ; 23,78 ; (2.378.000,00); 23,81 ; (2.378.969,86); (969,86);
05/03/2021;BRFS3;V; 80.500 ; 24,24 ; 1.951.320,00 ; 24,21 ; 1.952.115,84 ; 795,84 ;
09/03/2021;BRFS3;V; 15.000 ; 24,45 ; 366.750,00 ; 24,41 ; 366.899,58 ; 149,58 ;
09/03/2021;PETR4;C; 75.000 ; 21,58 ; (1.618.500,00); 21,62 ; (1.619.160,10); (660,10);
